,Train Score,Test Score,MAE,RMSE,CV Mean,CV Std
Linear Regression,0.7952000491610673,0.7820584879523742,0.4563407051114357,0.6420694129486204,0.41571300909748066,0.6672582917750013
Ridge Regression,0.7951658347480037,0.7888516083038775,0.4411890959576715,0.6319837193059035,0.757436618509176,0.020820800262696424
Random Forest,0.9761434251589045,0.7922429855070483,0.4323000149227675,0.6268878453684755,0.783130707252048,0.018815328785311804
Gradient Boosting,0.8682369661885699,0.812055387182229,0.41700088461271445,0.5962480098163094,0.7769365898603426,0.032801820242838224
